name,icao,region,elev_ft,rwy_m,rwy_desc,surface,fuel,lat,lon,remarks,source
Juan Santamaría International Airport,MROC,CR,3021.0,3012.0,07/25,ASP,,9.99386,-84.208801,,AIP
Tan Son Nhat International Airport,VVTS,VN,33.0,3800.0,07R/25L,CON,,10.8188,106.652,,AIP
Ciampino–G. B. Pastine International Airport,LIRA,IT,427.0,2202.0,15/33,ASP,,41.798769,12.595331,,AIP
Westchester County Airport,KHPN,US,439.0,1996.0,16/34,ASP,,41.06700134277344,-73.70760345458984,,AIP
Jomo Kenyatta International Airport,HKJK,KE,5330.0,4117.0,06/24,ASP,,-1.318886,36.928233,,AIP
Boise Air Terminal/Gowen Field,KBOI,US,2871.0,3048.0,10L/28R,ASP,,43.5644,-116.223,,AIP
Brussels South Charleroi Airport,EBCI,BE,614.0,3055.0,06/24,ASP,,50.461963,4.459562,,AIP
Faro - Gago Coutinho International Airport,LPFR,PT,24.0,2490.0,10/28,ASP,,37.015909,-7.970939,,AIP
Antalya International Airport,LTAI,TR,177.0,3400.0,18C/36C,CON,,36.898701,30.800501,,AIP
Bologna Guglielmo Marconi Airport,LIPE,IT,123.0,2803.0,12/30,ASP,,44.5354,11.2887,,AIP
Dubrovnik Ruđer Bošković Airport,LDDU,HR,527.0,3230.0,11/29,ASP,,42.562247,18.265543,,AIP
Soekarno-Hatta International Airport,WIII,ID,34.0,3660.0,07R/25L,CON,,-6.12557,106.655998,,AIP
Larnaca International Airport,LCLK,CY,8.0,2994.0,04/22,ASP,,34.875099,33.624901,,AIP
Belgrade Nikola Tesla Airport,LYBE,RS,335.0,3500.0,12R/30L,ASPH,,44.818401,20.309099,,AIP
Syracuse Hancock International Airport,KSYR,US,421.0,2747.0,10/28,ASP,,43.11119842529297,-76.1063003540039,,AIP
Marrakesh Menara Airport,GMMX,MA,1545.0,3100.0,10/28,ASP,,31.604807,-8.035788,,AIP
Punta Cana International Airport,MDPC,DO,47.0,3100.0,08/26,ASP,,18.567093,-68.364558,,AIP
Des Moines International Airport,KDSM,US,958.0,2744.0,05/23,ASP,,41.534027,-93.656719,,AIP
Gerald R. Ford International Airport,KGRR,US,794.0,3048.0,08R/26L,CON,,42.880798,-85.522797,,AIP
Frederick Douglass Greater Rochester International Airport,KROC,US,559.0,2439.0,04/22,ASP,,43.1189,-77.672401,,AIP
Marseille Provence Airport,LFML,FR,74.0,3500.0,13L/31R,ASP,,43.438088,5.2125,,AIP
Portland International Jetport,KPWM,US,76.0,2195.0,11/29,ASP,,43.646198,-70.309303,,AIP
Istanbul Sabiha Gökçen International Airport,LTFJ,TR,312.0,3540.0,06R/24L,CON,,40.898602,29.3092,,AIP
Zagreb Franjo Tuđman International Airport,LDZA,HR,353.0,3252.0,04/22,ASP,,45.742901,16.0688,,AIP
Spokane International Airport,KGEG,US,2376.0,3353.0,03/21,ASP,,47.6199,-117.533997,,AIP
EuroAirport Basel–Mulhouse–Freiburg,LFSB,FR,885.0,3900.0,15/33,CON,,47.60068,7.521117,,AIP
Naples International Airport,LIRN,IT,294.0,2628.0,06/24,ASP,,40.886002,14.2908,,AIP
Wichita Dwight D. Eisenhower National Airport,KICT,US,1333.0,3140.0,01L/19R,CON,,37.650314,-97.428583,,AIP
El Dorado International Airport,SKBO,CO,8361.0,3800.0,14L/32R,ASP,,4.70159,-74.1469,,AIP
Tulsa International Airport,KTUL,US,677.0,3048.0,18L/36R,CON,,36.197084,-95.886225,,AIP
Dane County Regional Truax Field,KMSN,US,887.0,2745.0,18/36,CON,,43.1399,-89.337502,,AIP
James M. Cox Dayton International Airport,KDAY,US,1009.0,3323.0,06L/24R,PEM,,39.902401,-84.219398,,AIP
Bill & Hillary Clinton National Airport/Adams Field,KLIT,US,262.0,2522.0,04L/22R,CON,,34.729222,-92.223591,,AIP
Lynden Pindling International Airport,MYNN,BS,16.0,3460.0,14/32,ASP,,25.039,-77.466202,,AIP
City of Colorado Springs Municipal Airport,KCOS,US,6187.0,4115.0,17L/35R,CON,,38.805801,-104.700996,,AIP
Wittman Regional Airport,KOSH,US,808.0,2439.0,18/36,CON,,43.98440170288086,-88.55699920654297,,AIP
Toulouse-Blagnac Airport,LFBO,FR,499.0,3500.0,14R/32L,ASP,,43.629101,1.36382,,AIP
Noi Bai International Airport,VVNB,VN,39.0,3800.0,11R/29L,CON,,21.221201,105.806999,,AIP
Quebec Jean Lesage International Airport,CYQB,CA,244.0,2743.0,06/24,ASP,,46.7911,-71.393303,,AIP
